City,State,Zip_Code,Hospital_Id
Acton,MA,1720,1
Cambridge,MA,2141,2
Cambridge,MA,2139,3
Marlborough,MA,1752,4
cambridge,MA,2139,5
Cambridge,MA,2139,6
Burlington,MA,1803,7
Burlington,MA,1805,8
Cambridge,MA,2130,9
Burlington,MA,1805,10
Burlington,MA,1805,11
Cambridge,MA,2139,12
Burlington,MA,1805,13
Burlington,MA,1805,14
Burlington,MA,1805,15
Burlington,MA,1805,16
Cambridge,MA,2139,17
Cambridge,MA,2139,18
Burlington,VT,5401,19
Quincy,MA,2169,20
Cambridge,MA,2139,21
Cambridge,MA,2139,22
Burlington,MA,1805,23
Cambridge,MA,2459,24
Cambridge,MA,2141,25
Cambridge,MA,2140,26
Burlington,MA,1805,27
Burlington,MA,1805,28
Cambridge,MA,2138,29
Burlington,MA,1805,30
Acton,MA,1720,31
Cambridge,MA,2139,32
Cambridge,MA,2139,33
Cambridge,MA,2139,34
Cambridge,MA,2139,35
Burlington,MA,1805,36
Cambridge,MA,2139,37
Burlington,MA,1805,38
Cambridge,MA,2138,39
Burlington,MA,1805,40
Burlington,MA,2140,41
Cambridge,MA,2138,42
Cambridge,MA,2139,43
Northampton,MA,1060,44
Burlington,MA,1805,45
Cambridge,MA,2139,46
Cambridge,MA,2139,47
Cambridge,MA,2138,48
Burlington,MA,1803,49
Cambridge,MA,2139,50
Cambridge,MA,2139,51
Burlington,VT,5401,52
Burlington,MA,1805,53
Cambridge,MA,2138,54
Cambridge,MA,2139,55
Acton,MA,1720,56
Acton,AL,1720,57
Cambridge,MA,2138,58
Burlington,MA,1805,59
Cambridge,MA,2138,60
Cambridge,MA,2141,61
Cambridge,MA,2138,62
Burlington,VT,5401,63
Burlington,MA,1803,64
Cambridge,MA,2138,65
Cambridge,MA,2138,66
Burlington,MA,1805,67
Cambridge,MA,2138,68
Cambridge,MA,2139,69
Cambridge,MA,2139,70
Burlington,MA,1803,71
Burlington,VT,5405,72
Quincy,MA,2169,73
Quincy,MA,2169,74
Cambridge,MA,2139,75
Cambridge,MA,2139,76
Cambridge,MA,2142,77
Quincy,MA,2169,78
Burlington,MA,1805,79
Cambridge,MA,2138,80
Burlington,MA,1805,81
Cambridge,MA,2139,82
Burlington,MA,1805,83
Quincy,MA,2169,84
Burlington,MA,1805,85
Burlington,VT,5401,86
Cambridge,MA,2139,87
Northampton,MA,1060,88
Cambridge,MA,2138,89
Cambridge,MA,2139,90
Cambridge,MA,2238,91
Burlington,MA,1805,92
Cambridge,MA,2138,93
Cambridge,MA,2141,94
Cambridge,MA,2139,95
Cambridge,MA,2138,96
Cambridge,MA,2138,97
Cambridge,MA,2138,98
CLINTON,MD,2073,99
Acton,MA,1720,100
Burlington,MA,1805,101
Northampton,MA,1060,102
Burlington,MA,1805,103
Quincy,MA,2169,104
Cambridge,MA,2138,105
Cambridge,MA,2139,106
Cambridge,MA,2139,107
Acton,MA,1720,108
Cambridge,MA,2139,109
Cambridge,MA,2138,110
Burlington,MA,1805,111
Cambridge,MA,2142,112
Burlington,MA,1803,113
Acton,MA,1720,114
Cambridge,MA,2139,115
Cambridge,MA,2139,116
Cambridge,MA,2149,117
Cambridge,MA,2139,118
Cambridge,MA,2139,119
Cambridge,MA,2139,120
Cambridge,MA,2139,121
Cambridge,MA,2139,122
Burlington,MA,1805,123
Cambridge,MA,2138,124
Cambridge,MA,2138,125
Cambridge,MA,2139,126
Burlington,MA,1805,127
